standard_node_id,srandard_node_id,node_id,node_label,node_type,id,label,type,agent_entity_type,norm_carcinogen_class,carcinogen_class_normalized,carcinogen_class_source,class,class_source,chemont_class,chemont_superclass,chemont_kingdom,iarc_group,pubchem_cid,inchikey,casrn
IARC_3_4_Epoxy_6_methylcyclohexylmethyl_3_4_epoxy_6_methylcyclo_hexanecarbo,IARC_3_4_Epoxy_6_methylcyclohexylmethyl_3_4_epoxy_6_methylcyclo_hexanecarbo,IARC_3_4_Epoxy_6_methylcyclohexylmethyl_3_4_epoxy_6_methylcyclo_hexanecarbo,"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate",Carcinogen,IARC_3_4_Epoxy_6_methylcyclohexylmethyl_3_4_epoxy_6_methylcyclo_hexanecarbo,"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate",Carcinogen,Unknown,Alkylating,Alkylating,classyfire,Alkylating,classyfire,Oxepanes,Organoheterocyclic compounds,Organic compounds,Group 3,61094,GRWFFFOEIHGUBG-UHFFFAOYSA-N,141-37-7
IARC_3_5_Dinitrotoluene,IARC_3_5_Dinitrotoluene,IARC_3_5_Dinitrotoluene,"3,5-Dinitrotoluene",Carcinogen,IARC_3_5_Dinitrotoluene,"3,5-Dinitrotoluene",Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,12067,RUIFULUFLANOCI-UHFFFAOYSA-N,618-85-9
IARC_3_7_Dinitrofluoranthene,IARC_3_7_Dinitrofluoranthene,IARC_3_7_Dinitrofluoranthene,"3,7-Dinitrofluoranthene",Carcinogen,IARC_3_7_Dinitrofluoranthene,"3,7-Dinitrofluoranthene",Carcinogen,Unknown,Nitronaphthalenes,Nitronaphthalenes,chemont_class,Nitronaphthalenes,chemont_class,Naphthalenes,Benzenoids,Organic compounds,Group 2B,60018,WAAHHGKGQYVTNS-UHFFFAOYSA-N,105735-71-5
IARC_3_9_Dinitrofluoranthene,IARC_3_9_Dinitrofluoranthene,IARC_3_9_Dinitrofluoranthene,"3,9-Dinitrofluoranthene",Carcinogen,IARC_3_9_Dinitrofluoranthene,"3,9-Dinitrofluoranthene",Carcinogen,Unknown,Nitronaphthalenes,Nitronaphthalenes,chemont_class,Nitronaphthalenes,chemont_class,Naphthalenes,Benzenoids,Organic compounds,Group 2B,31186,FGDKXSJXYFAHHH-UHFFFAOYSA-N,22506-53-2
IARC_3_N_Nitrosomethylamino_propionaldehyde,IARC_3_N_Nitrosomethylamino_propionaldehyde,IARC_3_N_Nitrosomethylamino_propionaldehyde,3-(N-Nitrosomethylamino)propionaldehyde,Carcinogen,IARC_3_N_Nitrosomethylamino_propionaldehyde,3-(N-Nitrosomethylamino)propionaldehyde,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organooxygen compounds,Organic oxygen compounds,Organic compounds,Group 3,98533,CQGSPCLZUXSVHE-UHFFFAOYSA-N,85502-23-4
IARC_3_N_Nitrosomethylamino_propionitrile,IARC_3_N_Nitrosomethylamino_propionitrile,IARC_3_N_Nitrosomethylamino_propionitrile,3-(N-Nitrosomethylamino)propionitrile,Carcinogen,IARC_3_N_Nitrosomethylamino_propionitrile,3-(N-Nitrosomethylamino)propionitrile,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,62163,HZDLDFBKYBGNHG-UHFFFAOYSA-N,60153-49-3
IARC_3_Carbethoxypsoralen,IARC_3_Carbethoxypsoralen,IARC_3_Carbethoxypsoralen,3-Carbethoxypsoralen,Carcinogen,IARC_3_Carbethoxypsoralen,3-Carbethoxypsoralen,Carcinogen,Unknown,Psoralens,Psoralens,chemont_class,Psoralens,chemont_class,Coumarins and derivatives,Phenylpropanoids and polyketides,Organic compounds,Group 3,62739,CFQAMEDTKHNQTP-UHFFFAOYSA-N,20073-24-9
IARC_3_Chloro_2_methylpropene_technical_grade,IARC_3_Chloro_2_methylpropene_technical_grade,IARC_3_Chloro_2_methylpropene_technical_grade,"3-Chloro-2-methylpropene, technical grade",Carcinogen,IARC_3_Chloro_2_methylpropene_technical_grade,"3-Chloro-2-methylpropene, technical grade",Carcinogen,Chemical,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 2B,11241,OHXAOPZTJOUYKM-UHFFFAOYSA-N,563-47-3
IARC_3_Chloro_4_dichloromethyl_5_hydroxy_2_5H_furanone,IARC_3_Chloro_4_dichloromethyl_5_hydroxy_2_5H_furanone,IARC_3_Chloro_4_dichloromethyl_5_hydroxy_2_5H_furanone,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,Carcinogen,IARC_3_Chloro_4_dichloromethyl_5_hydroxy_2_5H_furanone,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,Carcinogen,Chemical,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Dihydrofurans,Organoheterocyclic compounds,Organic compounds,Group 2B,53665,WNTRMRXAGJOLCU-UHFFFAOYSA-N,77439-76-0
IARC_3_Methylchrysene,IARC_3_Methylchrysene,IARC_3_Methylchrysene,3-Methylchrysene,Carcinogen,IARC_3_Methylchrysene,3-Methylchrysene,Carcinogen,Unknown,Chrysenes,Chrysenes,chemont_class,Chrysenes,chemont_class,Phenanthrenes and derivatives,Benzenoids,Organic compounds,Group 3,18781,JLIHUJWAXSZIHS-UHFFFAOYSA-N,3351-31-3
IARC_3_Methylfluoranthene,IARC_3_Methylfluoranthene,IARC_3_Methylfluoranthene,3-Methylfluoranthene,Carcinogen,IARC_3_Methylfluoranthene,3-Methylfluoranthene,Carcinogen,Unknown,Naphthalenes,Naphthalenes,chemont_class,Naphthalenes,chemont_class,Naphthalenes,Benzenoids,Organic compounds,Group 3,15565,XHJKUHDKEFRGSK-UHFFFAOYSA-N,1706-01-0
