standard_node_id,srandard_node_id,node_id,node_label,node_type,id,label,type,agent_entity_type,norm_carcinogen_class,carcinogen_class_normalized,carcinogen_class_source,class,class_source,chemont_class,chemont_superclass,chemont_kingdom,iarc_group,pubchem_cid,inchikey,casrn
IARC_Dacarbazine,IARC_Dacarbazine,IARC_Dacarbazine,Dacarbazine,Carcinogen,IARC_Dacarbazine,Dacarbazine,Carcinogen,Unknown,2-heteroaryl carboxamides,2-heteroaryl carboxamides,chemont_class,2-heteroaryl carboxamides,chemont_class,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,135398738,FDKXTQMXEQVLRF-ZHACJKMWSA-N,4342-03-4
IARC_Dantron_Chrysazin_1_8_Dihydroxyanthraquinone,IARC_Dantron_Chrysazin_1_8_Dihydroxyanthraquinone,IARC_Dantron_Chrysazin_1_8_Dihydroxyanthraquinone,"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",Carcinogen,IARC_Dantron_Chrysazin_1_8_Dihydroxyanthraquinone,"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",Carcinogen,Unknown,Anthraquinones,Anthraquinones,chemont_class,Anthraquinones,chemont_class,Anthracenes,Benzenoids,Organic compounds,Group 2B,2950,QBPFLULOKWLNNW-UHFFFAOYSA-N,117-10-2
IARC_Dapsone,IARC_Dapsone,IARC_Dapsone,Dapsone,Carcinogen,IARC_Dapsone,Dapsone,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,2955,MQJKPEGWNLWLTK-UHFFFAOYSA-N,80-08-0
IARC_Daunomycin_Daunorubicin,IARC_Daunomycin_Daunorubicin,IARC_Daunomycin_Daunorubicin,Daunomycin (Daunorubicin),Carcinogen,IARC_Daunomycin_Daunorubicin,Daunomycin (Daunorubicin),Carcinogen,Unknown,Alcohol,Alcohol,classyfire,Alcohol,classyfire,Anthracyclines,Phenylpropanoids and polyketides,Organic compounds,Group 2B,30323,STQGQHZAVUOBTE-VGBVRHCVSA-N,20830-81-3
IARC_Decabromodiphenyl_oxide,IARC_Decabromodiphenyl_oxide,IARC_Decabromodiphenyl_oxide,Decabromodiphenyl oxide,Carcinogen,IARC_Decabromodiphenyl_oxide,Decabromodiphenyl oxide,Carcinogen,Chemical,Solvent,Solvent,classyfire,Solvent,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,14410,WHHGLZMJPXIBIX-UHFFFAOYSA-N,1163-19-5
IARC_Deltamethrin,IARC_Deltamethrin,IARC_Deltamethrin,Deltamethrin,Carcinogen,IARC_Deltamethrin,Deltamethrin,Carcinogen,Unknown,Pyrethroids,Pyrethroids,chemont_class,Pyrethroids,chemont_class,Fatty Acyls,Lipids and lipid-like molecules,Organic compounds,Group 3,40585,OWZREIFADZCYQD-NSHGMRRFSA-N,52918-63-5
IARC_Dental_materials,IARC_Dental_materials,IARC_Dental_materials,Dental materials,Carcinogen,IARC_Dental_materials,Dental materials,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 3,,,
IARC_Di_2_ethylhexyl_adipate,IARC_Di_2_ethylhexyl_adipate,IARC_Di_2_ethylhexyl_adipate,Di(2-ethylhexyl) adipate,Carcinogen,IARC_Di_2_ethylhexyl_adipate,Di(2-ethylhexyl) adipate,Carcinogen,Unknown,Fatty acid esters,Fatty acid esters,chemont_class,Fatty acid esters,chemont_class,Fatty Acyls,Lipids and lipid-like molecules,Organic compounds,Group 3,7641,SAOKZLXYCUGLFA-UHFFFAOYSA-N,103-23-1
IARC_Di_2_ethylhexyl_phthalate,IARC_Di_2_ethylhexyl_phthalate,IARC_Di_2_ethylhexyl_phthalate,Di(2-ethylhexyl)phthalate,Carcinogen,IARC_Di_2_ethylhexyl_phthalate,Di(2-ethylhexyl)phthalate,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,8343,BJQHLKABXJIVAM-UHFFFAOYSA-N,117-81-7
IARC_Diacetylaminoazotoluene,IARC_Diacetylaminoazotoluene,IARC_Diacetylaminoazotoluene,Diacetylaminoazotoluene,Carcinogen,IARC_Diacetylaminoazotoluene,Diacetylaminoazotoluene,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Azobenzenes,Organoheterocyclic compounds,Organic compounds,Group 3,6751,YIEDSISPYKQADU-UHFFFAOYSA-N,83-63-6
IARC_Diallate,IARC_Diallate,IARC_Diallate,Diallate,Carcinogen,IARC_Diallate,Diallate,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Thiocarbonyl compounds,Organosulfur compounds,Organic compounds,Group 3,5284376,SPANOECCGNXGNR-UITAMQMPSA-N,2303-16-4
IARC_Diazepam,IARC_Diazepam,IARC_Diazepam,Diazepam,Carcinogen,IARC_Diazepam,Diazepam,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Benzodiazepines,Organoheterocyclic compounds,Organic compounds,Group 3,3016,AAOVKJBEBIDNHE-UHFFFAOYSA-N,439-14-5
IARC_Diazinon,IARC_Diazinon,IARC_Diazinon,Diazinon,Carcinogen,IARC_Diazinon,Diazinon,Carcinogen,Unknown,Pyrimidinyl phosphorothioates,Pyrimidinyl phosphorothioates,chemont_class,Pyrimidinyl phosphorothioates,chemont_class,Organic thiophosphoric acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2A,3017,FHIVAFMUCKRCQO-UHFFFAOYSA-N,333-41-5
IARC_Diazomethane,IARC_Diazomethane,IARC_Diazomethane,Diazomethane,Carcinogen,IARC_Diazomethane,Diazomethane,Carcinogen,Unknown,Diazo compounds,Diazo compounds,chemont_class,Diazo compounds,chemont_class,"Propargyl-type 1,3-dipolar organic compounds","Organic 1,3-dipolar compounds",Organic compounds,Group 3,9550,YXHKONLOYHBTNS-UHFFFAOYSA-N,334-88-3
IARC_Dibenz_a_c_anthracene,IARC_Dibenz_a_c_anthracene,IARC_Dibenz_a_c_anthracene,"Dibenz[a,c]anthracene",Carcinogen,IARC_Dibenz_a_c_anthracene,"Dibenz[a,c]anthracene",Carcinogen,Chemical,Triphenylenes,Triphenylenes,chemont_class,Triphenylenes,chemont_class,Phenanthrenes and derivatives,Benzenoids,Organic compounds,Group 3,9164,RAASUWZPTOJQAY-UHFFFAOYSA-N,215-58-7
IARC_Dibenz_a_h_acridine,IARC_Dibenz_a_h_acridine,IARC_Dibenz_a_h_acridine,"Dibenz[a,h]acridine",Carcinogen,IARC_Dibenz_a_h_acridine,"Dibenz[a,h]acridine",Carcinogen,Chemical,Benzacridines,Benzacridines,chemont_class,Benzacridines,chemont_class,Quinolines and derivatives,Organoheterocyclic compounds,Organic compounds,Group 2B,9183,JNCSIWAONQTVCF-UHFFFAOYSA-N,226-36-8
IARC_Dibenz_a_h_anthracene,IARC_Dibenz_a_h_anthracene,IARC_Dibenz_a_h_anthracene,"Dibenz[a,h]anthracene",Carcinogen,IARC_Dibenz_a_h_anthracene,"Dibenz[a,h]anthracene",Carcinogen,Chemical,Phenanthrenes and derivatives,Phenanthrenes and derivatives,chemont_class,Phenanthrenes and derivatives,chemont_class,Phenanthrenes and derivatives,Benzenoids,Organic compounds,Group 2A,5889,LHRCREOYAASXPZ-UHFFFAOYSA-N,53-70-3
IARC_Dibenz_a_j_acridine,IARC_Dibenz_a_j_acridine,IARC_Dibenz_a_j_acridine,"Dibenz[a,j]acridine",Carcinogen,IARC_Dibenz_a_j_acridine,"Dibenz[a,j]acridine",Carcinogen,Chemical,Benzacridines,Benzacridines,chemont_class,Benzacridines,chemont_class,Quinolines and derivatives,Organoheterocyclic compounds,Organic compounds,Group 2A,9177,ANUCHZVCBDOPOX-UHFFFAOYSA-N,224-42-0
IARC_Dibenz_a_j_anthracene,IARC_Dibenz_a_j_anthracene,IARC_Dibenz_a_j_anthracene,"Dibenz[a,j]anthracene",Carcinogen,IARC_Dibenz_a_j_anthracene,"Dibenz[a,j]anthracene",Carcinogen,Chemical,Phenanthrenes and derivatives,Phenanthrenes and derivatives,chemont_class,Phenanthrenes and derivatives,chemont_class,Phenanthrenes and derivatives,Benzenoids,Organic compounds,Group 3,9176,KLIHYVJAYWCEDM-UHFFFAOYSA-N,224-41-9
IARC_Dibenz_c_h_acridine,IARC_Dibenz_c_h_acridine,IARC_Dibenz_c_h_acridine,"Dibenz[c,h]acridine",Carcinogen,IARC_Dibenz_c_h_acridine,"Dibenz[c,h]acridine",Carcinogen,Chemical,Benzacridines,Benzacridines,chemont_class,Benzacridines,chemont_class,Quinolines and derivatives,Organoheterocyclic compounds,Organic compounds,Group 2B,9178,BTVBCAKHMZHLFR-UHFFFAOYSA-N,224-53-3
IARC_Dibenzo_para_dioxin,IARC_Dibenzo_para_dioxin,IARC_Dibenzo_para_dioxin,Dibenzo-para-dioxin,Carcinogen,IARC_Dibenzo_para_dioxin,Dibenzo-para-dioxin,Carcinogen,Chemical,Dioxin,Dioxin,rules,Dioxin,rules,Benzodioxins,Organoheterocyclic compounds,Organic compounds,Group 3,9216,NFBOHOGPQUYFRF-UHFFFAOYSA-N,262-12-4
IARC_Dibenzo_a_e_fluoranthene,IARC_Dibenzo_a_e_fluoranthene,IARC_Dibenzo_a_e_fluoranthene,"Dibenzo[a,e]fluoranthene",Carcinogen,IARC_Dibenzo_a_e_fluoranthene,"Dibenzo[a,e]fluoranthene",Carcinogen,Unknown,Phenanthrenes and derivatives,Phenanthrenes and derivatives,chemont_class,Phenanthrenes and derivatives,chemont_class,Phenanthrenes and derivatives,Benzenoids,Organic compounds,Group 3,21480,JHOWUOKQHJHGMU-UHFFFAOYSA-N,5385-75-1
IARC_Dibenzo_a_e_pyrene,IARC_Dibenzo_a_e_pyrene,IARC_Dibenzo_a_e_pyrene,"Dibenzo[a,e]pyrene",Carcinogen,IARC_Dibenzo_a_e_pyrene,"Dibenzo[a,e]pyrene",Carcinogen,Chemical,Benzopyrenes,Benzopyrenes,chemont_class,Benzopyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 3,9126,KGHMWBNEMFNJFZ-UHFFFAOYSA-N,192-65-4
IARC_Dibenzo_a_h_pyrene,IARC_Dibenzo_a_h_pyrene,IARC_Dibenzo_a_h_pyrene,"Dibenzo[a,h]pyrene",Carcinogen,IARC_Dibenzo_a_h_pyrene,"Dibenzo[a,h]pyrene",Carcinogen,Chemical,Benzopyrenes,Benzopyrenes,chemont_class,Benzopyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 2B,9108,RXUSYFJGDZFVND-UHFFFAOYSA-N,189-64-0
IARC_Dibenzo_a_i_pyrene,IARC_Dibenzo_a_i_pyrene,IARC_Dibenzo_a_i_pyrene,"Dibenzo[a,i]pyrene",Carcinogen,IARC_Dibenzo_a_i_pyrene,"Dibenzo[a,i]pyrene",Carcinogen,Chemical,Benzopyrenes,Benzopyrenes,chemont_class,Benzopyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 2B,9106,TUGYIJVAYAHHHM-UHFFFAOYSA-N,189-55-9
IARC_Dibenzo_a_l_pyrene,IARC_Dibenzo_a_l_pyrene,IARC_Dibenzo_a_l_pyrene,"Dibenzo[a,l]pyrene",Carcinogen,IARC_Dibenzo_a_l_pyrene,"Dibenzo[a,l]pyrene",Carcinogen,Chemical,Benzopyrenes,Benzopyrenes,chemont_class,Benzopyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 2A,9119,JNTHRSHGARDABO-UHFFFAOYSA-N,191-30-0
IARC_Dibenzo_e_l_pyrene,IARC_Dibenzo_e_l_pyrene,IARC_Dibenzo_e_l_pyrene,"Dibenzo[e,l]pyrene",Carcinogen,IARC_Dibenzo_e_l_pyrene,"Dibenzo[e,l]pyrene",Carcinogen,Chemical,Benzopyrenes,Benzopyrenes,chemont_class,Benzopyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 3,9122,BMIAHKYKCHRGBA-UHFFFAOYSA-N,192-51-8
IARC_Dibenzo_h_rst_pentaphene,IARC_Dibenzo_h_rst_pentaphene,IARC_Dibenzo_h_rst_pentaphene,"Dibenzo[h,rst]pentaphene",Carcinogen,IARC_Dibenzo_h_rst_pentaphene,"Dibenzo[h,rst]pentaphene",Carcinogen,Unknown,Benzopyrenes,Benzopyrenes,chemont_class,Benzopyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 3,9121,LMNAZSSKDBUVFA-UHFFFAOYSA-N,192-47-2
IARC_Dibenzothiophene,IARC_Dibenzothiophene,IARC_Dibenzothiophene,Dibenzothiophene,Carcinogen,IARC_Dibenzothiophene,Dibenzothiophene,Carcinogen,Unknown,Dibenzothiophenes,Dibenzothiophenes,chemont_class,Dibenzothiophenes,chemont_class,Benzothiophenes,Organoheterocyclic compounds,Organic compounds,Group 3,3023,IYYZUPMFVPLQIF-UHFFFAOYSA-N,132-65-0
IARC_Dibromoacetic_acid,IARC_Dibromoacetic_acid,IARC_Dibromoacetic_acid,Dibromoacetic acid,Carcinogen,IARC_Dibromoacetic_acid,Dibromoacetic acid,Carcinogen,Chemical,Alpha-halocarboxylic acids,Alpha-halocarboxylic acids,chemont_class,Alpha-halocarboxylic acids,chemont_class,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,12433,SIEILFNCEFEENQ-UHFFFAOYSA-N,631-64-1
IARC_Dibromoacetonitrile,IARC_Dibromoacetonitrile,IARC_Dibromoacetonitrile,Dibromoacetonitrile,Carcinogen,IARC_Dibromoacetonitrile,Dibromoacetonitrile,Carcinogen,Unknown,Nitriles,Nitriles,chemont_class,Nitriles,chemont_class,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,18617,NDSBDLSWTGLNQA-UHFFFAOYSA-N,3252-43-5
IARC_Dichloroacetic_acid,IARC_Dichloroacetic_acid,IARC_Dichloroacetic_acid,Dichloroacetic acid,Carcinogen,IARC_Dichloroacetic_acid,Dichloroacetic acid,Carcinogen,Chemical,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,6597,JXTHNDFMNIQAHM-UHFFFAOYSA-N,79-43-6
IARC_Dichloroacetonitrile,IARC_Dichloroacetonitrile,IARC_Dichloroacetonitrile,Dichloroacetonitrile,Carcinogen,IARC_Dichloroacetonitrile,Dichloroacetonitrile,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 3,18177,STZZWJCGRKXEFF-UHFFFAOYSA-N,3018-12-0
IARC_Dichloroacetylene,IARC_Dichloroacetylene,IARC_Dichloroacetylene,Dichloroacetylene,Carcinogen,IARC_Dichloroacetylene,Dichloroacetylene,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Haloacetylenes and derivatives,Organohalogen compounds,Organic compounds,Group 3,24227,ZMJOVJSTYLQINE-UHFFFAOYSA-N,7572-29-4
IARC_Dichloromethane_Methylene_chloride,IARC_Dichloromethane_Methylene_chloride,IARC_Dichloromethane_Methylene_chloride,Dichloromethane (Methylene chloride),Carcinogen,IARC_Dichloromethane_Methylene_chloride,Dichloromethane (Methylene chloride),Carcinogen,Chemical,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Alkyl halides,Organohalogen compounds,Organic compounds,Group 2A,6344,YMWUJEATGCHHMB-UHFFFAOYSA-N,75-09-2
IARC_Dichlorvos,IARC_Dichlorvos,IARC_Dichlorvos,Dichlorvos,Carcinogen,IARC_Dichlorvos,Dichlorvos,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organic phosphoric acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,3039,OEBRKCOSUFCWJD-UHFFFAOYSA-N,62-73-7
IARC_Dicofol,IARC_Dicofol,IARC_Dicofol,Dicofol,Carcinogen,IARC_Dicofol,Dicofol,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,8268,UOAMTSKGCBMZTC-UHFFFAOYSA-N,115-32-2
IARC_Didanosine,IARC_Didanosine,IARC_Didanosine,Didanosine,Carcinogen,IARC_Didanosine,Didanosine,Carcinogen,Unknown,Alcohol,Alcohol,classyfire,Alcohol,classyfire,Purine nucleosides,"Nucleosides, nucleotides, and analogues",Organic compounds,Group 3,135398739,BXZVVICBKDXVGW-NKWVEPMBSA-N,69655-05-6
IARC_Dieldrin_and_aldrin_metabolized_to_dieldrin,IARC_Dieldrin_and_aldrin_metabolized_to_dieldrin,IARC_Dieldrin_and_aldrin_metabolized_to_dieldrin,"Dieldrin, and aldrin metabolized to dieldrin",Carcinogen,IARC_Dieldrin_and_aldrin_metabolized_to_dieldrin,"Dieldrin, and aldrin metabolized to dieldrin",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Prenol lipids,Lipids and lipid-like molecules,Organic compounds,Group 2A,969491,DFBKLUNHFCTMDC-PICURKEMSA-N,60-57-1
IARC_Diesel_fuel_marine,IARC_Diesel_fuel_marine,IARC_Diesel_fuel_marine,"Diesel fuel, marine",Carcinogen,IARC_Diesel_fuel_marine,"Diesel fuel, marine",Carcinogen,Mixture,Mixture,Mixture,iarc_entity_type,Mixture,iarc_entity_type,,,,Group 2B,,,
IARC_Diesel_fuels_distillate_light,IARC_Diesel_fuels_distillate_light,IARC_Diesel_fuels_distillate_light,"Diesel fuels, distillate (light)",Carcinogen,IARC_Diesel_fuels_distillate_light,"Diesel fuels, distillate (light)",Carcinogen,Mixture,Mixture,Mixture,iarc_entity_type,Mixture,iarc_entity_type,,,,Group 3,,,
IARC_Diethanolamine,IARC_Diethanolamine,IARC_Diethanolamine,Diethanolamine,Carcinogen,IARC_Diethanolamine,Diethanolamine,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 2B,,,
IARC_Diethyl_sulfate,IARC_Diethyl_sulfate,IARC_Diethyl_sulfate,Diethyl sulfate,Carcinogen,IARC_Diethyl_sulfate,Diethyl sulfate,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 2A,,,
IARC_Diethylstilbestrol,IARC_Diethylstilbestrol,IARC_Diethylstilbestrol,Diethylstilbestrol,Carcinogen,IARC_Diethylstilbestrol,Diethylstilbestrol,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 1,,,
IARC_Diglycidyl_resorcinol_ether,IARC_Diglycidyl_resorcinol_ether,IARC_Diglycidyl_resorcinol_ether,Diglycidyl resorcinol ether,Carcinogen,IARC_Diglycidyl_resorcinol_ether,Diglycidyl resorcinol ether,Carcinogen,Chemical,Alkylating,Alkylating,classyfire,Alkylating,classyfire,Phenol ethers,Benzenoids,Organic compounds,Group 2B,7586,WPYCRFCQABTEKC-UHFFFAOYSA-N,101-90-6
IARC_Digoxin,IARC_Digoxin,IARC_Digoxin,Digoxin,Carcinogen,IARC_Digoxin,Digoxin,Carcinogen,Unknown,Alcohol,Alcohol,classyfire,Alcohol,classyfire,Steroids and steroid derivatives,Lipids and lipid-like molecules,Organic compounds,Group 2B,2724385,LTMHDMANZUZIPE-PUGKRICDSA-N,20830-75-5
IARC_1_2_Dihydroaceanthrylene,IARC_1_2_Dihydroaceanthrylene,IARC_1_2_Dihydroaceanthrylene,"1,2-Dihydroaceanthrylene",Carcinogen,IARC_1_2_Dihydroaceanthrylene,"1,2-Dihydroaceanthrylene",Carcinogen,Unknown,Anthracenes,Anthracenes,chemont_class,Anthracenes,chemont_class,Anthracenes,Benzenoids,Organic compounds,Group 3,160539,XTAHYROJKCXMOF-UHFFFAOYSA-N,641-48-5
IARC_Dihydrosafrole,IARC_Dihydrosafrole,IARC_Dihydrosafrole,Dihydrosafrole,Carcinogen,IARC_Dihydrosafrole,Dihydrosafrole,Carcinogen,Unknown,Benzodioxoles,Benzodioxoles,chemont_class,Benzodioxoles,chemont_class,Benzodioxoles,Organoheterocyclic compounds,Organic compounds,Group 2B,7197,MYEIDJPOUKASEC-UHFFFAOYSA-N,94-58-6
IARC_Dihydroxymethylfuratrizine_see_also_Panfuran_S,IARC_Dihydroxymethylfuratrizine_see_also_Panfuran_S,IARC_Dihydroxymethylfuratrizine_see_also_Panfuran_S,Dihydroxymethylfuratrizine (see also Panfuran S),Carcinogen,IARC_Dihydroxymethylfuratrizine_see_also_Panfuran_S,Dihydroxymethylfuratrizine (see also Panfuran S),Carcinogen,Unknown,Nitrofurans,Nitrofurans,chemont_class,Nitrofurans,chemont_class,Furans,Organoheterocyclic compounds,Organic compounds,Group 3,6414792,RQWQIVXLPCFXCO-OWOJBTEDSA-N,794-93-4
IARC_Diisopropyl_ether,IARC_Diisopropyl_ether,IARC_Diisopropyl_ether,Diisopropyl ether,Carcinogen,IARC_Diisopropyl_ether,Diisopropyl ether,Carcinogen,Chemical,Dialkyl ethers,Dialkyl ethers,chemont_class,Dialkyl ethers,chemont_class,Organooxygen compounds,Organic oxygen compounds,Organic compounds,Group 3,7914,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,108-20-3
IARC_Diisopropyl_sulfate,IARC_Diisopropyl_sulfate,IARC_Diisopropyl_sulfate,Diisopropyl sulfate,Carcinogen,IARC_Diisopropyl_sulfate,Diisopropyl sulfate,Carcinogen,Chemical,Sulfuric acid diesters,Sulfuric acid diesters,chemont_class,Sulfuric acid diesters,chemont_class,Organic sulfuric acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,18096,HWBLTYHIEYOAOL-UHFFFAOYSA-N,2973-10-6
IARC_Dimethoxane,IARC_Dimethoxane,IARC_Dimethoxane,Dimethoxane,Carcinogen,IARC_Dimethoxane,Dimethoxane,Carcinogen,Unknown,"1,3-dioxanes","1,3-dioxanes",chemont_class,"1,3-dioxanes",chemont_class,Dioxanes,Organoheterocyclic compounds,Organic compounds,Group 3,13232,PHMNXPYGVPEQSJ-UHFFFAOYSA-N,828-00-2
IARC_Dimethyl_hydrogen_phosphite,IARC_Dimethyl_hydrogen_phosphite,IARC_Dimethyl_hydrogen_phosphite,Dimethyl hydrogen phosphite,Carcinogen,IARC_Dimethyl_hydrogen_phosphite,Dimethyl hydrogen phosphite,Carcinogen,Chemical,Phosphonic acid diesters,Phosphonic acid diesters,chemont_class,Phosphonic acid diesters,chemont_class,Organic phosphonic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,13361,HZCDANOFLILNSA-UHFFFAOYSA-N,868-85-9
IARC_Dimethyl_sulfate,IARC_Dimethyl_sulfate,IARC_Dimethyl_sulfate,Dimethyl sulfate,Carcinogen,IARC_Dimethyl_sulfate,Dimethyl sulfate,Carcinogen,Chemical,Sulfuric acid diesters,Sulfuric acid diesters,chemont_class,Sulfuric acid diesters,chemont_class,Organic sulfuric acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2A,6497,VAYGXNSJCAHWJZ-UHFFFAOYSA-N,77-78-1
IARC_Dimethylarsinic_acid,IARC_Dimethylarsinic_acid,IARC_Dimethylarsinic_acid,Dimethylarsinic acid,Carcinogen,IARC_Dimethylarsinic_acid,Dimethylarsinic acid,Carcinogen,Chemical,Heavy_Metal,Heavy_Metal,classyfire,Heavy_Metal,classyfire,Organometalloid compounds,Organometallic compounds,Organic compounds,Group 2B,2513,OGGXGZAMXPVRFZ-UHFFFAOYSA-N,75-60-5
IARC_Dimethylcarbamoyl_chloride,IARC_Dimethylcarbamoyl_chloride,IARC_Dimethylcarbamoyl_chloride,Dimethylcarbamoyl chloride,Carcinogen,IARC_Dimethylcarbamoyl_chloride,Dimethylcarbamoyl chloride,Carcinogen,Chemical,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2A,6598,YIIMEMSDCNDGTB-UHFFFAOYSA-N,79-44-7
IARC_Dinitrosopentamethylenetetramine,IARC_Dinitrosopentamethylenetetramine,IARC_Dinitrosopentamethylenetetramine,Dinitrosopentamethylenetetramine,Carcinogen,IARC_Dinitrosopentamethylenetetramine,Dinitrosopentamethylenetetramine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Triazinanes,Organoheterocyclic compounds,Organic compounds,Group 3,7549,MWRWFPQBGSZWNV-UHFFFAOYSA-N,101-25-7
IARC_Disperse_Blue_1,IARC_Disperse_Blue_1,IARC_Disperse_Blue_1,Disperse Blue 1,Carcinogen,IARC_Disperse_Blue_1,Disperse Blue 1,Carcinogen,Unknown,Anthraquinones,Anthraquinones,chemont_class,Anthraquinones,chemont_class,Anthracenes,Benzenoids,Organic compounds,Group 2B,17190,JSFUMBWFPQSADC-UHFFFAOYSA-N,2475-45-8
IARC_Disperse_Yellow_3,IARC_Disperse_Yellow_3,IARC_Disperse_Yellow_3,Disperse Yellow 3,Carcinogen,IARC_Disperse_Yellow_3,Disperse Yellow 3,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Azobenzenes,Organoheterocyclic compounds,Organic compounds,Group 3,17811,PXOZAFXVEWKXED-UHFFFAOYSA-N,2832-40-8
IARC_Disulfiram,IARC_Disulfiram,IARC_Disulfiram,Disulfiram,Carcinogen,IARC_Disulfiram,Disulfiram,Carcinogen,Unknown,Thiuram disulfides,Thiuram disulfides,chemont_class,Thiuram disulfides,chemont_class,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 3,3117,AUZONCFQVSMFAP-UHFFFAOYSA-N,97-77-8
IARC_Dithranol,IARC_Dithranol,IARC_Dithranol,Dithranol,Carcinogen,IARC_Dithranol,Dithranol,Carcinogen,Unknown,Anthracenes,Anthracenes,chemont_class,Anthracenes,chemont_class,Anthracenes,Benzenoids,Organic compounds,Group 3,2202,NUZWLKWWNNJHPT-UHFFFAOYSA-N,1143-38-0
IARC_Doxefazepam,IARC_Doxefazepam,IARC_Doxefazepam,Doxefazepam,Carcinogen,IARC_Doxefazepam,Doxefazepam,Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Benzodiazepines,Organoheterocyclic compounds,Organic compounds,Group 3,38668,VOJLELRQLPENHL-UHFFFAOYSA-N,40762-15-0
IARC_Doxylamine_succinate,IARC_Doxylamine_succinate,IARC_Doxylamine_succinate,Doxylamine succinate,Carcinogen,IARC_Doxylamine_succinate,Doxylamine succinate,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,11224,KBAUFVUYFNWQFM-UHFFFAOYSA-N,562-10-7
IARC_Droloxifene,IARC_Droloxifene,IARC_Droloxifene,Droloxifene,Carcinogen,IARC_Droloxifene,Droloxifene,Carcinogen,Unknown,Stilbenes,Stilbenes,chemont_class,Stilbenes,chemont_class,Stilbenes,Phenylpropanoids and polyketides,Organic compounds,Group 3,3033767,ZQZFYGIXNQKOAV-OCEACIFDSA-N,82413-20-5
IARC_Dry_cleaning_occupational_exposures_in,IARC_Dry_cleaning_occupational_exposures_in,IARC_Dry_cleaning_occupational_exposures_in,Dry cleaning (occupational exposures in),Carcinogen,IARC_Dry_cleaning_occupational_exposures_in,Dry cleaning (occupational exposures in),Carcinogen,Occupation,Occupation,Occupation,iarc_entity_type,Occupation,iarc_entity_type,,,,Group 2B,,,
